id,denominacao_atual,endereco,bairro,distrito,secretaria,historico
11,CEI PADRE ANTON MEROTH,R GANIMEDES 27,,,,"Padre Anton Meroth, nascido no dia 05 de novembro de 1948 na cidade de Argenbuhl - Alemanhã,  filho de Michael Meroth e Maria Anna Meroth. Faleceu na cidade de São Paulo - SP, no dia 04 de março de 1983, com 34 anos de idade. Foi sepultado no cemitério Getsemani, nesta capital."
13,CEI ARTUR ALVIM,R BOIPEVA S/N,,ARTUR ALVIM,EDUCAÇÃO,
18,CEI BARBARA HELIODORA,R JOSE FRANCISCO BRANDAO 80,,GUAIANASES,EDUCAÇÃO,
19,CEI BARRO BRANCO II,R ANTONIO CARLOS MINGUES LOPES S/N,,GUAIANASES,EDUCAÇÃO,
21,CEI VEREADOR BENEDITO ROCHA,R DENIS CHAUDET 150,,VILA SONIA,EDUCAÇÃO,
49,CEI GOITI,R DOS LIRIOS S/N,,SÃO RAFAEL,EDUCAÇÃO,
57,CEI IRMA ILDEFRANCA,R PEDRO GERALDO NASCIMENTO 42,,VILA CURUÇÁ,EDUCAÇÃO,
60,CEI JAMIR DAGIR,R SEPETIBA 678,V. SICILIANO,LAPA,EDUCAÇÃO,
64,CEI VEREADOR JOAO TONIOLO,R PADRE FELICIANO DOMINGUES 180,,FREGUESIA DO Ó,EDUCAÇÃO,
80,CEI LUIZ GONZAGA DO NASCIMENTO JR.,R PASCOAL DIAS 719,,SAO MATEUS,EDUCAÇÃO,
82,CEI MARCIA RICCO FERRAZ,R DR MARIO DE SANCTIS 58,,BRASILÂNDIA,EDUCAÇÃO,
84,CEI MARIA AUXILIADORA DA SILVA,R ANGELO ALOISIO 145,,JAÇANÃ,EDUCAÇÃO,
118,CEI SITIO DAS JABOTICABEIRAS,R JOSE FRANCISCO DE MORAIS 377,,CIDADE DUTRA,EDUCAÇÃO,
124,CEI ASSISTENTE SOCIAL VICENTINA VELASCO,TRAVESSA CASTRO PRADO 39,,SACOMÃ,EDUCAÇÃO,
125,CEI VIRGINIA BIANCA,R CAETANO TEIXEIRA 291,,TREMEMBÉ,EDUCAÇÃO,
